"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","response to progesterone (GO:0032570)","4/33",2.15362677384751e-05,0.0112553790506331,0,0,28.5502873563218,306.794883388829,"FOSB;TXNIP;FOS;JUNB"
"2","response to mechanical stimulus (GO:0009612)","7/176",2.9169001738713e-05,0.0112553790506331,0,0,8.7877457530063,91.765191374586,"EGR1;JUN;BTG2;TXNIP;FOSB;FOS;JUNB"
"3","cellular response to calcium ion (GO:0071277)","4/38",3.81116028676401e-05,0.0112553790506331,0,0,24.3455882352941,247.716160294751,"JUN;FOSB;FOS;JUNB"
"4","phosphatidylethanolamine biosynthetic process (GO:0006646)","3/14",4.24153224447596e-05,0.0112553790506331,0,0,55.9203373945642,563.006006243408,"PCYT2;CHKA;LPIN2"
"5","phosphatidylethanolamine metabolic process (GO:0046337)","3/15",5.2826809188519e-05,0.0112553790506331,0,0,51.2577319587629,504.811350131513,"PCYT2;CHKA;LPIN2"
"6","transforming growth factor beta receptor signaling pathway (GO:0007179)","6/134",5.75328536126532e-05,0.0112553790506331,0,0,9.85970744680851,96.2618462026828,"KLF10;JUN;GDF15;UBC;FOS;JUNB"
"7","transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)","7/196",5.784702889459e-05,0.0112553790506331,0,0,7.84986061330147,76.5966513509546,"KLF10;EGR1;JUN;GDF15;UBC;FOS;JUNB"
"8","response to cAMP (GO:0051591)","5/90",8.86973558876199e-05,0.0134644606222541,0,0,12.2693498452012,114.476475347056,"EGR1;JUN;FOSB;FOS;JUNB"
"9","skeletal muscle cell differentiation (GO:0035914)","4/47",8.8972206754983e-05,0.0134644606222541,0,0,19.2412790697674,179.46699877969,"EGR1;BTG2;FOS;ATF3"
"10","response to calcium ion (GO:0051592)","5/100",0.0001460736125883,0.0181355104581245,0,0,10.9722991689751,96.9007614271628,"JUN;TXNIP;FOSB;FOS;JUNB"
"11","response to extracellular stimulus (GO:0009991)","8/313",0.00017588201929883,0.0181355104581245,0,0,5.58660014255168,48.3000528334459,"KLF10;EGR1;ZFP36;JUN;GCGR;FOS;SLC25A25;TNRC6A"
"12","cellular response to transforming growth factor beta stimulus (GO:0071560)","6/166",0.000186985628671162,0.0181355104581245,0,0,7.875,67.6027705191995,"KLF10;JUN;GDF15;UBC;FOS;JUNB"
"13","response to transforming growth factor beta (GO:0071559)","6/166",0.000186985628671162,0.0181355104581245,0,0,7.875,67.6027705191995,"KLF10;JUN;GDF15;UBC;FOS;JUNB"
"14","response to starvation (GO:0042594)","5/106",0.000192032131779934,0.0181355104581245,0,0,10.3173527879104,88.2943353419117,"KLF10;ZFP36;JUN;GCGR;TNRC6A"
"15","response to corticosterone (GO:0051412)","3/23",0.000199730291389037,0.0181355104581245,0,0,30.7422680412371,261.879321300189,"FOSB;FOS;JUNB"
"16","response to organophosphorus (GO:0046683)","5/118",0.000316251550309439,0.026920913220091,0,0,9.21611551001397,74.2724225189788,"EGR1;JUN;FOSB;FOS;JUNB"
"17","response to mineralocorticoid (GO:0051385)","3/28",0.000362821371980509,0.0290683946257325,0,0,24.5876288659794,194.773359177925,"FOSB;FOS;JUNB"
"18","regulation of protein autophosphorylation (GO:0031952)","3/29",0.000403221018968546,0.0305103904352867,0,0,23.6407613005551,184.776798180826,"ERRFI1;JUN;VEGFA"
"19","regulation of RNA splicing (GO:0043484)","4/73",0.000491583857358747,0.0352388007222428,0,0,11.9752415458937,91.2259293297664,"CLK1;RBM25;SON;SNRNP70"
"20","response to purine-containing compound (GO:0014074)","5/132",0.000529172453962173,0.036036644114824,0,0,8.19436386241193,61.8198885426342,"EGR1;JUN;FOSB;FOS;JUNB"
"21","response to nutrient levels (GO:0031667)","7/291",0.000648726681746401,0.0420706425921155,0,0,5.19884900802665,38.1621462954322,"KLF10;EGR1;ZFP36;JUN;GCGR;SLC25A25;TNRC6A"
"22","positive regulation of p38MAPK cascade (GO:1900745)","2/8",0.000679555166686154,0.0420706425921155,0,0,67.6666666666667,493.565548173325,"GADD45G;VEGFA"
"23","carbohydrate homeostasis (GO:0033500)","5/143",0.000760747708216035,0.042361468544835,0,0,7.53699466056445,54.1247322442528,"MLXIPL;GCKR;G6PC;GCGR;PCK1"
"24","glucose homeostasis (GO:0042593)","5/143",0.000760747708216035,0.042361468544835,0,0,7.53699466056445,54.1247322442528,"MLXIPL;GCKR;G6PC;GCGR;PCK1"
"25","negative regulation of translation involved in gene silencing by miRNA (GO:0035278)","2/9",0.000870867194754317,0.042361468544835,0,0,57.997084548105,408.648679561366,"ZFP36;TNRC6A"
"26","regulation of translation, ncRNA-mediated (GO:0045974)","2/9",0.000870867194754317,0.042361468544835,0,0,57.997084548105,408.648679561366,"ZFP36;TNRC6A"
"27","negative regulation of translation, ncRNA-mediated (GO:0040033)","2/9",0.000870867194754317,0.042361468544835,0,0,57.997084548105,408.648679561366,"ZFP36;TNRC6A"
"28","lung vasculature development (GO:0060426)","2/9",0.000870867194754317,0.042361468544835,0,0,57.997084548105,408.648679561366,"ERRFI1;VEGFA"
"29","glucose metabolic process (GO:0006006)","5/149",0.000915204772469534,0.0429830655208105,0,0,7.22076023391813,50.5190577299838,"NISCH;G6PC;UBC;PCK1;ATF3"
"30","outflow tract morphogenesis (GO:0003151)","3/40",0.00104769503107265,0.0461819477772922,0,0,16.6032320980775,113.917477373754,"JUN;HES1;VEGFA"
"31","negative regulation of protein autophosphorylation (GO:0031953)","2/10",0.00108503842061186,0.0461819477772922,0,0,50.7448979591837,346.391771762865,"ERRFI1;JUN"
"32","regulation of apoptotic cell clearance (GO:2000425)","2/10",0.00108503842061186,0.0461819477772922,0,0,50.7448979591837,346.391771762865,"C4B;C4A"
"33","regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)","3/41",0.00112632746020299,0.0464866060847417,0,0,16.1654910472056,109.744172047573,"JUN;UBC;VEGFA"
"34","regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)","2/11",0.0013218400851343,0.0512710340314428,0,0,45.1043083900227,298.984305122014,"BTG2;ZFP36"
"35","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)","2/11",0.0013218400851343,0.0512710340314428,0,0,45.1043083900227,298.984305122014,"BTG2;ZFP36"
"36","vasculature development (GO:0001944)","3/44",0.00138425852269568,0.0512710340314428,0,0,14.9803872265527,98.6097568216037,"ERRFI1;HES1;VEGFA"
"37","cellular response to metal ion (GO:0071248)","4/99",0.001539882179182,0.0512710340314428,0,0,8.68640350877193,56.2535779923345,"JUN;FOSB;FOS;JUNB"
"38","gluconeogenesis (GO:0006094)","3/46",0.00157518599530849,0.0512710340314428,0,0,14.2821865260129,92.1684043252849,"G6PC;PCK1;ATF3"
"39","regulation of DNA-templated transcription in response to stress (GO:0043620)","3/46",0.00157518599530849,0.0512710340314428,0,0,14.2821865260129,92.1684043252849,"JUN;UBC;VEGFA"
"40","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)","2/12",0.00158104510229119,0.0512710340314428,0,0,40.5918367346939,261.803918893847,"BTG2;ZFP36"
